conclusion,status,evidence,risk,recommended_wording
无人机多光谱能够反映小麦扬花率变化,基本可信，但需限制表述,"1 ft² 最强 Spearman=-0.659, FDR q=0.0116",特征搜索较多，需FDR、Bootstrap和置换检验共同支撑,可表述为存在显著遥感响应关系。
5月10日比4月18日更适合监测扬花率,基本可信，但需限制表述,1 ft² 最优特征来自0510单期ND_B2_B3；严格模型仍需看仅0510特征集,两期影像定标无法核实,可表述为5月10日特征在当前样本中更敏感。
Green-Red组合指数对扬花率最敏感,可信，可进入正文,1 ft² 最强特征 0510_r0p172_ND_B2_B3_median,仍需报告FDR和稳定性，不应只报单一最优值,可表述为Green-Red归一化差异指数表现突出。
1 ft²尺度存在显著相关性,可信，可进入正文,"Spearman=-0.659, p=3.08e-05",模型R2较低，相关不等于高精度预测,可表述为1 ft²尺度相关性显著。
1 m尺度预测性能最好,需要重跑后决定,原结果1m相关强，但空间重叠风险高；严格空间CV结果见AUDIT_KEY_RESULTS,1m有明显缓冲区重叠与平滑效应,可作为尺度效应敏感性，不作为最终最优尺度强结论。
扩大空间邻域能够提高预测稳定性,基本可信，但需限制表述,原相关性随尺度扩大增强；1m重叠样点比例高,可能来自空间平滑或邻域共享像元,可表述为扩大邻域增强相关性，但需警惕空间非独立。
当前模型能够定量预测扬花率,当前数据不支持,严格空间CV最高R2=0.313,样本仅33个，原模型存在特征选择泄漏风险,不建议使用定量估算表述。
当前模型适合扬花率高低趋势监测,基本可信，但需限制表述,相关性较强，预测图脚本已标注exploratory trend,趋势监测仍需独立样点验证,可表述为空间趋势或相对高低监测。
当前预测图能够表示扬花率空间分布,基本可信，但需限制表述,预测图由1 ft² RF模型全样本训练生成,模型性能弱，无不确定性，未核实小麦掩膜,可作为趋势图，不宜作为精确扬花率图。
当前研究具有投稿中文农业期刊基础,基本可信，但需限制表述,数据、尺度效应、相关性和审计流程已形成,投稿前需补定标说明、严格验证和论文图表,可按尺度效应和探索性监测定位。
